
咪咕频道,#group#
//咪咕开始
中国篮协“未来杯”国际篮球挑战赛 凤凰队VS雄狮队 全场回放（现场解说） 16:20,http://129.150.55.255:31905/967308140
中国篮协“未来杯”国际篮球挑战赛 凤凰队VS雄狮队 全场回放（赛场原声） 16:20,http://129.150.55.255:31905/967308312
逐马计划 逐马计划沈阳站大咖分享会 2026逐马计划沈阳站大咖分享会全场回放（赛场原声） 16:30,http://129.150.55.255:31905/967304550
海河超儿 红桥0-3南开 天津市海河足球超级联赛第4轮全场回放：红桥0:3南开（赛场原声） 17:00,http://129.150.55.255:31905/967322630
东北超 延边VS大连 全场回放 17:30,http://129.150.55.255:31905/967330308
女篮世界杯 马里VS西班牙 全场回放（孔德昕） 17:20,http://129.150.55.255:31905/967309262
女篮世界杯 马里VS西班牙 全场回放（英文解说） 17:20,http://129.150.55.255:31905/967311051
女篮世界杯 马里VS西班牙 全场回放（赛场原声） 17:20,http://129.150.55.255:31905/967311264
攀岩系列赛 国际攀岩挑战赛暨中国攀岩联赛上海站 2026年“一带一路”国际攀岩挑战赛暨中国攀岩联赛上海站Day2全场回放（官方解说）（一） 09:30,http://129.150.55.255:31905/967301689
攀岩系列赛 国际攀岩挑战赛暨中国攀岩联赛上海站 2026年“一带一路”国际攀岩挑战赛暨中国攀岩联赛上海站Day2全场回放（官方解说）（二） 09:30,http://129.150.55.255:31905/967345513
NBA经典赛事 NBA精彩重播：湖人vs掘金 全场回放（杨健、曾令旭、苏群、佳依） 18:00,http://129.150.55.255:31905/963439938
中超 武汉三镇VS青岛西海岸 全场回放（梁祥宇、贺宇） 18:55,http://129.150.55.255:31905/967315499
中超 武汉三镇VS青岛西海岸 全场回放（AI智慧观赛） 18:55,http://129.150.55.255:31905/967315288
中超 武汉三镇VS青岛西海岸 全场回放（AI智能解说） 18:55,http://129.150.55.255:31905/967317137
中甲 长春亚泰VS宁波职业足球俱乐部 全场回放（官方解说） 18:50,http://129.150.55.255:31905/967317066
中甲 无锡吴钩VS延边龙鼎 全场回放（官方解说） 18:50,http://129.150.55.255:31905/967321436
闽超 泉州队VS厦门队 全场回放 19:00,http://129.150.55.255:31905/967319477
闽超 宁德队VS平潭队 全场回放 19:00,http://129.150.55.255:31905/967322100
闽超 南平队VS漳州队 全场回放 19:00,http://129.150.55.255:31905/967323042
WTT 早田、户上晋级决赛 俄罗斯组合混双夺冠 【混双决赛】叶夫根尼/潘菲洛娃3-0吉山和希/小盐悠菜 19:00,http://129.150.55.255:31905/967316175
WTT 早田、户上晋级决赛 俄罗斯组合混双夺冠 全场回放（马特） 19:00,http://129.150.55.255:31905/967318094
WTT 早田、户上晋级决赛 俄罗斯组合混双夺冠 全场回放 19:00,http://129.150.55.255:31905/967323181
蒙超联赛 赤峰队VS鄂尔多斯队 全场回放 19:00,http://129.150.55.255:31905/967327068
徽BA 淮北VS芜湖 全场回放 19:00,http://129.150.55.255:31905/967318241
徽BA 蚌埠VS滁州 全场回放 19:00,http://129.150.55.255:31905/967318146
徽青赛 宿州VS六安 全场回放 19:00,http://129.150.55.255:31905/967320335
徽BA 黄山VS安庆 全场回放 19:00,http://129.150.55.255:31905/967318445
徽BA 合肥VS淮南 全场回放 19:00,http://129.150.55.255:31905/967319915
晋超联赛 晋城市114-60长治市 2026赛季山西省男子篮球超级联赛第6轮全场回放：晋城市VS长治市（赛场原声） 19:20,http://129.150.55.255:31905/967321176
楚超 恩施小土豆队VS神农架队 全场回放 19:25,http://129.150.55.255:31905/967326962
中甲 南通支云VS广东广州豹足球俱乐部 全场回放 19:20,http://129.150.55.255:31905/967319823
中甲 佛山南狮VS大连鲲城 全场回放（官方解说） 19:20,http://129.150.55.255:31905/967319318
英超 纽卡斯尔联VS伯恩茅斯 全场回放（黄航） 19:15,http://129.150.55.255:31905/967316244
齐鲁超赛 枣庄丰源轮胎队VS滨州创新队 全场回放 19:30,http://129.150.55.255:31905/967317612
齐鲁超赛 威海文旅集团队VS东营队 全场回放 19:30,http://129.150.55.255:31905/967320116
桂BA 南宁市VS桂林市 全场回放 19:30,http://129.150.55.255:31905/967320837
蒙超联赛 通辽队VS包头队 全场回放 19:30,http://129.150.55.255:31905/967333896
粤超 汕尾VS深圳 全场回放（普通话） 19:30,http://129.150.55.255:31905/967319033
粤超 汕尾VS深圳 全场回放（粤语） 19:30,http://129.150.55.255:31905/967321782
粤超 佛山VS梅州 全场回放（普通话） 19:30,http://129.150.55.255:31905/967319942
粤超 佛山VS梅州 全场回放（粤语） 19:30,http://129.150.55.255:31905/967323934
粤超 佛山VS梅州 全场回放（客家话） 19:30,http://129.150.55.255:31905/967324957
中国篮协“未来杯”国际篮球挑战赛 真理队VS无疆队 全场回放（现场解说） 19:20,http://129.150.55.255:31905/967319018
中国篮协“未来杯”国际篮球挑战赛 真理队VS无疆队 全场回放（赛场原声） 19:20,http://129.150.55.255:31905/967318974
浙BA 丽水76-70永康 2026浙江省城市篮球联赛全场回放：丽水vs永康（赛场原声） 19:30,http://129.150.55.255:31905/967319844
中超 大连英博海发VS青岛海牛 全场回放（袁甲、王伟） 19:30,http://129.150.55.255:31905/967318172
中超 大连英博海发VS青岛海牛 全场回放（AI智慧观赛） 19:30,http://129.150.55.255:31905/967318024
中超 大连英博海发VS青岛海牛 全场回放（智能解说） 19:30,http://129.150.55.255:31905/967317240
中超 上海海港VS北京国安 全场回放（娄一晨、刘越、姚安妮） 19:20,http://129.150.55.255:31905/967318375
英女超 切尔西女足VS阿斯顿维拉女足 全场回放（刘焕） 19:20,http://129.150.55.255:31905/967316222
湘超 湘潭队VS益阳队 全场回放 19:38,http://129.150.55.255:31905/967323413
湘超 岳阳队VS娄底队 全场回放 19:38,http://129.150.55.255:31905/967324536
湘超 怀化队VS株洲队 全场回放 19:38,http://129.150.55.255:31905/967325446
湘超 邵阳队VS永州队 全场回放 19:38,http://129.150.55.255:31905/967324714
苏超 连云港队VS南通队 全场回放（官方解说） 19:10,http://129.150.55.255:31905/967321299
苏超 盐城队VS徐州队 全场回放（官方解说） 19:10,http://129.150.55.255:31905/967321561
苏超 南京队VS泰州队 全场回放（官方解说） 19:10,http://129.150.55.255:31905/967320919
中超 山东泰山VS深圳新鹏城 全场回放（石庆圣、李彦、孙蕊） 19:45,http://129.150.55.255:31905/967317717
楚超 十堰武当队VS孝感孝傲江湖队 全场回放 20:00,http://129.150.55.255:31905/967327895
楚超 黄冈祥云队VS随州炎炎队 全场回放 20:00,http://129.150.55.255:31905/967323519
楚超 宜昌东阳光队VS鄂州临空队 全场回放 20:00,http://129.150.55.255:31905/967325646
楚超 咸宁外星人队VS仙桃黄鳝队 全场回放 20:00,http://129.150.55.255:31905/967326689
楚超 天门衣尚队VS潜江龙虾队 全场回放 20:00,http://129.150.55.255:31905/967327546
楚超 荆州恒隆队VS荆门金龙泉队 全场回放 20:00,http://129.150.55.255:31905/967323606
UIPM障碍跑世界锦标赛 障碍跑世界锦标赛Day3 2026障碍跑世界锦标赛Day3全场回放（官方解说） 20:00,http://129.150.55.255:31905/967323351
斯诺克 塞尔比VS海菲尔德 【回放】马克·塞尔比6-3利亚姆·海菲尔德（秦正） 20:00,http://129.150.55.255:31905/967328162
斯诺克 塞尔比VS海菲尔德 【回放】马克·塞尔比6-3利亚姆·海菲尔德（赛场原声） 20:00,http://129.150.55.255:31905/967339428
粤超 东莞VS湛江 全场回放（粤语） 20:00,http://129.150.55.255:31905/967319982
粤超 东莞VS湛江 全场回放（普通话） 20:00,http://129.150.55.255:31905/967322135
女篮世界杯 尼日利亚VS匈牙利 全场回放（英文解说） 20:05,http://129.150.55.255:31905/967323944
女篮世界杯 尼日利亚VS匈牙利 全场回放（赛场原声） 20:05,http://129.150.55.255:31905/967323888
意甲 佛罗伦萨VS都灵 全场回放（乔迁） 20:45,http://129.150.55.255:31905/967322437
德甲 帕德博恩VS弗赖堡 全场回放（刘洪新） 21:15,http://129.150.55.255:31905/967322158
德甲 云达不莱梅VSRB莱比锡 全场回放（胡小凡、鲁靖明） 21:15,http://129.150.55.255:31905/967321334
德甲 门兴格拉德巴赫VS埃尔沃斯贝格 全场回放（刘洋） 21:15,http://129.150.55.255:31905/967321734
德甲 勒沃库森VS柏林联 全场回放（涂远、马延峰） 21:15,http://129.150.55.255:31905/967321826
德甲 霍芬海姆VS多特蒙德 全场回放（沈云怡、秦游夏） 21:15,http://129.150.55.255:31905/967323389
英超 诺丁汉森林VS托特纳姆热刺 全场回放（苏东、徐阳、李子琪） 21:45,http://129.150.55.255:31905/967322983
英超 诺丁汉森林VS托特纳姆热刺 全场回放（任锴、梁柏翘） 21:45,http://129.150.55.255:31905/967327422
英超 曼城VS考文垂 全场回放（詹俊、张路、郭小仙儿） 21:45,http://129.150.55.255:31905/967323930
英超 曼城VS考文垂 全场回放（陈曦、叶紫辰） 21:45,http://129.150.55.255:31905/967327850
英超 富勒姆VS水晶宫 全场回放（林梦鸽） 21:45,http://129.150.55.255:31905/967322811
英超 布莱顿VS利兹联 全场回放（郭灿亮） 21:45,http://129.150.55.255:31905/967323055
英超 布伦特福德VS桑德兰 全场回放（刘焕） 21:45,http://129.150.55.255:31905/967327855
美国网球公开赛 凯斯VS郑钦文 全场回放（鸿昆） 2:00,http://129.150.55.255:31905/967328583
美国网球公开赛 高芙横扫晋级 阿尼西莫娃出局 【女单第3轮】凯斯1-2郑钦文（赛场原声） 23:00,http://129.150.55.255:31905/967328602
美国网球公开赛 凯斯VS郑钦文 全场回放（刘钟鸣、邱超） 2:00,http://129.150.55.255:31905/967330475
西甲 毕尔巴鄂竞技VS马德里竞技 全场回放（李欣、张昊泽） 22:00,http://129.150.55.255:31905/967324761
美国网球公开赛 高芙横扫晋级 阿尼西莫娃出局 【男单第3轮】兹维列夫3-0塔比洛（赛场原声） 23:00,http://129.150.55.255:31905/967343662
美国网球公开赛 高芙横扫晋级 阿尼西莫娃出局 【男单第3轮】布洛克斯3-1科博利（赛场原声） 23:00,http://129.150.55.255:31905/967335511
